,,,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Tool Title: Arrest in the United States, 1980-2014",,,,,,,,,,,,,,,,,,,,,
"Data source: FBI, Uniform Crime Reporting Program",,,,,,,,,,,,,,,,,,,,,
"Authors: Howard N. Snyder, Ph.D.; Alexia D. Cooper, Ph.D.; and Joseph Mulako-Wangota, Ph.D.",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: Aug 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Arrests by Age reported by Holyoke Police Dept, 2014",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Offense,Total all ages,Ages under 18,Ages 18 or over,Ages under 10,10-12,13-14,Ages under 15,15,16,17,18-20,21-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,Ages 65 or over
All Offenses,2881,175,2706,0,4,29,33,33,46,63,193,449,586,459,326,248,162,143,87,23,30
Murder and Non-Negligent Manslaughter,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Forcible Rape,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Robbery,14,2,12,0,0,0,0,0,0,2,1,2,3,1,2,1,0,2,0,0,0
Aggravated Assault,34,5,29,0,0,1,1,2,0,2,6,6,5,1,3,4,1,2,1,0,0
Burglary,31,4,27,0,0,2,2,1,0,1,2,3,8,4,2,8,0,0,0,0,0
Larceny-Theft,488,73,415,0,1,10,11,14,24,24,57,67,81,66,49,32,27,25,9,1,1
Motor Vehicle Theft,5,0,5,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0
Arson,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Other Assaults,167,17,150,0,0,3,3,4,2,8,19,37,30,21,8,14,9,7,3,1,1
Forgery and Counterfeiting,6,0,6,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0
Fraud,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Embezzlement,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
"Stolen Property; Buying, Receiving, Possessing",9,0,9,0,0,0,0,0,0,0,0,2,2,3,0,0,1,1,0,0,0
Vandalism,32,4,28,0,0,0,0,1,0,3,4,9,7,3,0,3,1,1,0,0,0
"Weapons; Carrying, Possessing, etc.",22,0,22,0,0,0,0,0,0,0,4,6,9,2,0,1,0,0,0,0,0
Prostitution and Commercialized Vice,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Sex Offense (except forcible rape and prostitution),~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
