,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,
"Tool Title: Arrest in the United States, 1980-2014",,,,,,,,,,,,,,,
"Data source: FBI, Uniform Crime Reporting Program",,,,,,,,,,,,,,,
"Authors: Howard N. Snyder, Ph.D.; Alexia D. Cooper, Ph.D.; and Joseph Mulako-Wangota, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,
Date of version: Aug 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Arrests by Race and Age reported by Holyoke Police Dept, 2014",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Offense,All Ages,,,,,Ages under 18,,,,,Ages 18 or over,,,,
,Total,Whites,Blacks,AIAN,API,Total,Whites,Blacks,AIAN,API,Total,Whites,Blacks,AIAN,API
All Offenses,2881,2698,176,0,7,175,158,17,0,0,2706,2541,158,0,7
Murder and Non-Negligent Manslaughter,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0
Forcible Rape,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Robbery,14,11,3,0,0,2,2,0,0,0,12,9,3,0,0
Aggravated Assault,34,32,2,0,0,5,5,0,0,0,29,27,2,0,0
Burglary,31,31,0,0,0,4,4,0,0,0,27,27,0,0,0
Larceny-Theft,488,425,58,0,5,73,60,13,0,0,415,365,45,0,5
Motor Vehicle Theft,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0
Arson,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Other Assaults,167,156,11,0,0,17,16,1,0,0,150,140,10,0,0
Forgery and Counterfeiting,6,5,1,0,0,0,0,0,0,0,6,5,1,0,0
Fraud,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Embezzlement,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
"Stolen Property; Buying, Receiving, Possessing",9,7,2,0,0,0,0,0,0,0,9,7,2,0,0
Vandalism,32,32,0,0,0,4,4,0,0,0,28,28,0,0,0
"Weapons; Carrying, Possessing, etc.",22,22,0,0,0,0,0,0,0,0,22,22,0,0,0
Prostitution and Commercialized Vice,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Sex Offense (except forcible rape and prostitution),~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Drug Abuse Violations -Total,491,481,9,0,1,9,9,0,0,0,482,472,9,0,1
Sale-Manufacturing-Total,35,34,1,0,0,2,2,0,0,0,33,32,1,0,0
Possession-SubTotal,452,443,8,0,1,7,7,0,0,0,445,436,8,0,1
Gambling,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Offenses Against the Family and Children,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Driving Under the Influence,18,17,1,0,0,0,0,0,0,0,18,17,1,0,0
Liquor Laws,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Drunkenness,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Disorderly Conduct,137,126,11,0,0,24,22,2,0,0,113,104,9,0,0
Vagrancy,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
All Other Offenses (except traffic),1424,1347,76,0,1,37,36,1,0,0,1387,1311,75,0,1
Suspicion,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Curfew and Loitering Law Violations,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Runaways,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Violent Crime Index,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Property Crime Index,525,462,58,0,5,77,64,13,0,0,448,398,45,0,5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
-------------------------,,,,,,,,,,,,,,,
Note: Detail may not add to totals due to rounding,,,,,,,,,,,,,,,
- = The FBI stopped reporting Runaways offense as of 2010.,,,,,,,,,,,,,,,
"~ = Due to the use of different definitions of rape across reporting agencies, data on rape arrests after 2012 are not shown in the table or graph, or included in any crime totals (all offenses or violent crime index). Because of this, the totals presented in this tool are not comparable to prior years. For more information on the definition changes, see the FBI's New Rape Definition Frequently Asked Questions -1 = Agency did not report data",,,,,,,,,,,,,,,
AIAN = American Indians and Native Alaskans,,,,,,,,,,,,,,,
API = Asians and Pacific Islanders,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Recommended citation: Snyder, Howard N.; Cooper, Alexia D.; and Mulako-Wangota, Joseph. Bureau of Justice Statistics. (Insert table title). Generated using the Arrest Data Analysis Tool at www.bjs.gov. (Insert date). ",,,,,,,,,,,,,,,
