,,,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Tool Title: Arrest in the United States, 1980-2014",,,,,,,,,,,,,,,,,,,,,
"Data source: FBI, Uniform Crime Reporting Program",,,,,,,,,,,,,,,,,,,,,
"Authors: Howard N. Snyder, Ph.D.; Alexia D. Cooper, Ph.D.; and Joseph Mulako-Wangota, Ph.D.",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: Aug 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Arrests by Age reported by MA00718, 2014",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Offense,Total all ages,Ages under 18,Ages 18 or over,Ages under 10,10-12,13-14,Ages under 15,15,16,17,18-20,21-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,Ages 65 or over
All Offenses,3916,528,3388,0,22,135,157,107,119,145,351,587,668,526,396,331,231,159,93,24,22
Murder and Non-Negligent Manslaughter,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Forcible Rape,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Robbery,58,19,39,0,0,5,5,1,6,7,7,10,7,7,2,4,2,0,0,0,0
Aggravated Assault,196,15,181,0,1,4,5,3,0,7,13,34,23,35,19,17,11,17,9,1,2
Burglary,127,30,97,0,1,9,10,8,2,10,17,20,27,9,7,7,5,3,2,0,0
Larceny-Theft,141,19,122,0,1,4,5,4,4,6,10,22,17,19,14,13,10,12,4,0,1
Motor Vehicle Theft,12,2,10,0,0,0,0,0,1,1,2,0,3,3,1,1,0,0,0,0,0
Arson,5,2,3,0,1,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Other Assaults,653,110,543,0,3,33,36,23,23,28,60,88,97,81,66,58,45,23,18,4,3
Forgery and Counterfeiting,9,0,9,0,0,0,0,0,0,0,2,1,1,1,0,3,1,0,0,0,0
Fraud,5,0,5,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
Embezzlement,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
"Stolen Property; Buying, Receiving, Possessing",53,13,40,0,0,2,2,0,3,8,12,10,8,6,0,2,1,0,1,0,0
Vandalism,77,17,60,0,1,4,5,4,6,2,6,11,15,9,5,4,4,3,2,0,1
"Weapons; Carrying, Possessing, etc.",66,16,50,0,0,2,2,1,7,6,20,14,8,4,3,1,0,0,0,0,0
Prostitution and Commercialized Vice,54,1,53,0,0,0,0,1,0,0,0,5,6,9,12,8,3,5,1,2,2
Sex Offense (except forcible rape and prostitution),~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Drug Abuse Violations -Total,577,13,564,0,0,2,2,2,4,5,46,93,131,94,70,50,37,25,10,5,3
