,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,
"Tool Title: Arrest in the United States, 1980-2014",,,,,,,,,,,,,,,
"Data source: FBI, Uniform Crime Reporting Program",,,,,,,,,,,,,,,
"Authors: Howard N. Snyder, Ph.D.; Alexia D. Cooper, Ph.D.; and Joseph Mulako-Wangota, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,
Date of version: Aug 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Arrests by Race and Age reported by Springfield Police Dept, 2014",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Offense,All Ages,,,,,Ages under 18,,,,,Ages 18 or over,,,,
,Total,Whites,Blacks,AIAN,API,Total,Whites,Blacks,AIAN,API,Total,Whites,Blacks,AIAN,API
All Offenses,3916,2642,1249,10,15,528,347,178,1,3,3388,2295,1071,9,12
Murder and Non-Negligent Manslaughter,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Forcible Rape,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Robbery,58,22,36,0,0,19,6,13,0,0,39,16,23,0,0
Aggravated Assault,196,131,63,2,0,15,13,2,0,0,181,118,61,2,0
Burglary,127,74,53,0,0,30,14,16,0,0,97,60,37,0,0
Larceny-Theft,141,95,46,0,0,19,10,10,0,0,122,86,36,0,0
Motor Vehicle Theft,12,7,5,0,0,2,2,0,0,0,10,5,5,0,0
Arson,5,4,1,0,0,2,2,0,0,0,3,2,1,0,0
Other Assaults,653,447,201,2,3,110,77,32,1,0,543,370,169,1,3
Forgery and Counterfeiting,9,5,4,0,0,0,0,0,0,0,9,5,4,0,0
Fraud,5,2,3,0,0,0,0,0,0,0,5,2,3,0,0
Embezzlement,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
"Stolen Property; Buying, Receiving, Possessing",53,30,23,0,0,13,8,5,0,0,40,22,18,0,0
Vandalism,77,50,27,0,0,17,9,8,0,0,60,41,19,0,0
"Weapons; Carrying, Possessing, etc.",66,34,32,0,0,16,8,8,0,0,50,26,24,0,0
Prostitution and Commercialized Vice,54,40,12,2,0,1,1,0,0,0,53,39,12,2,0
Sex Offense (except forcible rape and prostitution),~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Drug Abuse Violations -Total,577,451,123,0,3,13,11,2,0,0,564,440,121,0,3
Sale-Manufacturing-Total,278,221,57,0,0,5,5,0,0,0,273,216,57,0,0
Possession-SubTotal,297,229,65,0,3,8,6,2,0,0,289,223,63,0,3
Gambling,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Offenses Against the Family and Children,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Driving Under the Influence,58,49,9,0,0,0,0,0,0,0,58,49,9,0,0
Liquor Laws,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0
Drunkenness,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0
Disorderly Conduct,228,147,81,0,0,73,49,24,0,0,155,98,57,0,0
Vagrancy,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
All Other Offenses (except traffic),1578,1040,525,4,9,197,137,57,0,3,1381,903,468,4,6
Suspicion,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Curfew and Loitering Law Violations,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Runaways,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Violent Crime Index,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Property Crime Index,285,180,105,0,0,53,28,26,0,0,232,153,79,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
-------------------------,,,,,,,,,,,,,,,
Note: Detail may not add to totals due to rounding,,,,,,,,,,,,,,,
- = The FBI stopped reporting Runaways offense as of 2010.,,,,,,,,,,,,,,,
"~ = Due to the use of different definitions of rape across reporting agencies, data on rape arrests after 2012 are not shown in the table or graph, or included in any crime totals (all offenses or violent crime index). Because of this, the totals presented in this tool are not comparable to prior years. For more information on the definition changes, see the FBI's New Rape Definition Frequently Asked Questions -1 = Agency did not report data",,,,,,,,,,,,,,,
AIAN = American Indians and Native Alaskans,,,,,,,,,,,,,,,
API = Asians and Pacific Islanders,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Recommended citation: Snyder, Howard N.; Cooper, Alexia D.; and Mulako-Wangota, Joseph. Bureau of Justice Statistics. (Insert table title). Generated using the Arrest Data Analysis Tool at www.bjs.gov. (Insert date). ",,,,,,,,,,,,,,,
